class,filename,width,height,mode,mean_intensity,contrast,filepath,target
Viral Pneumonia,Viral Pneumonia-1257.png,299,299,L,119.64096598472052,49.46839211901577,..\covid\COVID-19_Radiography_Dataset\Viral Pneumonia\images\Viral Pneumonia-1257.png,0
Lung_Opacity,Lung_Opacity-4472.png,299,299,L,145.7022740237805,62.16901508551562,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4472.png,0
Normal,Normal-9959.png,299,299,L,155.76437623740227,69.8568979585075,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-9959.png,0
COVID,COVID-515.png,299,299,L,137.44997259538485,43.66289770444137,..\covid\COVID-19_Radiography_Dataset\COVID\images\COVID-515.png,1
Normal,Normal-4162.png,299,299,L,117.54681714969631,66.21387470763841,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-4162.png,0
Normal,Normal-3232.png,299,299,L,128.52710819789488,71.20510033033693,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3232.png,0
Normal,Normal-274.png,299,299,L,113.07693426248028,66.73552874288356,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-274.png,0
Normal,Normal-9952.png,299,299,L,145.37971611055804,66.60231224775295,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-9952.png,0
Normal,Normal-7885.png,299,299,L,119.99091732754667,63.18324301598063,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7885.png,0
Normal,Normal-2783.png,299,299,L,171.71166989183567,54.842819023405816,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-2783.png,0
Normal,Normal-7119.png,299,299,L,121.28260310287357,60.81251866055985,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-7119.png,0
Normal,Normal-1746.png,299,299,L,174.60214091564973,49.51545052639711,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-1746.png,0
Normal,Normal-1620.png,299,299,L,125.38416796232704,69.74808858169143,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-1620.png,0
Lung_Opacity,Lung_Opacity-38.png,299,299,L,106.75153521772687,56.21685297451567,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-38.png,0
Normal,Normal-3290.png,299,299,L,132.0580865985839,59.701432302439805,..\covid\COVID-19_Radiography_Dataset\Normal\images\Normal-3290.png,0
Lung_Opacity,Lung_Opacity-4874.png,299,299,L,163.17402489905035,68.3988570653111,..\covid\COVID-19_Radiography_Dataset\Lung_Opacity\images\Lung_Opacity-4874.png,0
